year_ceremony,female,black,asian,latin_american,non_white,white,male,total_nominees,female_winners,black_winners,asian_winners,latin_american_winners,non_white_winners,white_winners,male_winners,total_winners
1956,20.491803278688526,1.639344262295082,0.819672131147541,0.0,2.459016393442623,97.54098360655738,79.50819672131148,100.0,4.098360655737705,0.819672131147541,0.819672131147541,0.0,1.639344262295082,20.491803278688526,18.0327868852459,22.13114754098361
1957,14.84375,0.0,3.125,0.78125,3.90625,96.09375,85.15625,100.0,2.34375,0.0,0.78125,0.78125,1.5625,21.875,21.09375,23.4375
1958,15.0,0.0,2.0,2.0,4.0,96.0,85.0,100.0,3.0,0.0,1.0,0.0,1.0,24.0,22.0,25.0
1959,13.513513513513512,0.9009009009009008,0.9009009009009008,0.0,1.8018018018018016,98.19819819819818,86.48648648648648,99.99999999999999,2.7027027027027026,0.0,0.0,0.0,0.0,22.52252252252252,19.819819819819816,22.52252252252252
1960,18.487394957983195,0.8403361344537815,0.0,0.8403361344537815,1.680672268907563,98.31932773109244,81.51260504201682,100.0,2.5210084033613445,0.0,0.0,0.0,0.0,23.529411764705884,21.008403361344538,23.529411764705884
1961,17.21311475409836,0.0,0.819672131147541,0.819672131147541,1.639344262295082,98.36065573770492,82.78688524590164,100.0,3.278688524590164,0.0,0.0,0.0,0.0,23.770491803278688,20.491803278688526,23.770491803278688
1962,12.903225806451614,0.8064516129032259,0.0,1.6129032258064517,2.4193548387096775,97.58064516129032,87.09677419354838,100.0,3.2258064516129035,0.0,0.0,0.8064516129032259,0.8064516129032259,23.387096774193548,20.967741935483872,24.193548387096776
1963,19.491525423728813,0.0,0.0,0.0,0.0,100.0,80.5084745762712,100.0,5.084745762711865,0.0,0.0,0.0,0.0,22.033898305084747,16.949152542372882,22.033898305084747
1964,18.548387096774192,0.8064516129032259,0.8064516129032259,0.0,1.6129032258064517,98.38709677419355,81.45161290322581,100.0,4.032258064516129,0.8064516129032259,0.8064516129032259,0.0,1.6129032258064517,20.161290322580644,17.741935483870968,21.774193548387096
1965,13.934426229508198,0.819672131147541,0.0,2.459016393442623,3.278688524590164,96.72131147540983,86.06557377049181,100.0,2.459016393442623,0.0,0.0,0.0,0.0,22.13114754098361,19.672131147540984,22.13114754098361
1966,16.8,0.8,0.8,0.0,1.6,98.4,83.2,100.0,3.2,0.0,0.0,0.0,0.0,23.2,20.0,23.2
1967,14.516129032258064,1.6129032258064517,1.6129032258064517,0.0,3.2258064516129035,96.7741935483871,85.48387096774194,100.0,4.032258064516129,0.8064516129032259,0.0,0.0,0.8064516129032259,23.387096774193548,20.161290322580644,24.193548387096776
1968,11.926605504587155,2.7522935779816513,0.0,1.8348623853211008,4.587155963302752,95.41284403669724,88.07339449541284,99.99999999999999,1.8348623853211008,0.0,0.0,0.9174311926605504,0.9174311926605504,22.935779816513758,22.01834862385321,23.85321100917431
1969,16.666666666666664,0.9259259259259258,0.9259259259259258,0.9259259259259258,2.7777777777777777,97.22222222222221,83.33333333333333,100.0,5.555555555555555,0.0,0.0,0.0,0.0,24.074074074074073,18.51851851851852,24.074074074074073
1970,19.047619047619047,2.857142857142857,0.9523809523809523,0.0,3.8095238095238093,96.19047619047619,80.95238095238095,100.0,4.761904761904762,0.0,0.0,0.0,0.0,22.857142857142858,18.095238095238095,22.857142857142858
1971,18.69158878504673,1.8691588785046729,0.9345794392523364,1.8691588785046729,4.672897196261682,95.32710280373831,81.30841121495327,100.0,2.803738317757009,0.0,0.0,0.0,0.0,24.299065420560748,21.49532710280374,24.299065420560748
1972,16.346153846153847,1.923076923076923,0.9615384615384615,2.8846153846153846,5.769230769230769,94.23076923076923,83.65384615384615,100.0,3.846153846153846,0.9615384615384615,0.0,1.923076923076923,2.8846153846153846,19.23076923076923,18.26923076923077,22.115384615384613
1973,17.307692307692307,6.730769230769231,0.9615384615384615,0.0,7.692307692307692,92.3076923076923,82.6923076923077,100.0,4.8076923076923075,0.0,0.0,0.0,0.0,24.038461538461537,19.23076923076923,24.038461538461537
1974,20.388349514563107,0.0,0.0,0.0,0.0,100.0,79.6116504854369,100.0,4.854368932038835,0.0,0.0,0.0,0.0,24.271844660194173,19.41747572815534,24.271844660194173
1975,20.5607476635514,1.8691588785046729,0.9345794392523364,0.9345794392523364,3.7383177570093458,96.26168224299064,79.43925233644859,100.0,3.7383177570093458,0.0,0.0,0.0,0.0,23.36448598130841,19.626168224299064,23.36448598130841
1976,22.429906542056074,0.0,1.8691588785046729,0.0,1.8691588785046729,98.13084112149532,77.57009345794393,100.0,6.5420560747663545,0.0,0.0,0.0,0.0,24.299065420560748,17.75700934579439,24.299065420560748
1977,25.0,0.9615384615384615,0.0,0.9615384615384615,1.923076923076923,98.07692307692308,75.0,100.0,6.730769230769231,0.0,0.0,0.0,0.0,23.076923076923077,16.346153846153847,23.076923076923077
1978,21.10091743119266,0.0,0.9174311926605504,1.8348623853211008,2.7522935779816513,97.24770642201834,78.89908256880733,99.99999999999999,4.587155963302752,0.0,0.0,0.0,0.0,24.77064220183486,20.183486238532108,24.77064220183486
1979,19.81132075471698,0.9433962264150942,0.9433962264150942,0.9433962264150942,2.830188679245283,97.16981132075472,80.18867924528301,100.0,5.660377358490566,0.0,0.0,0.0,0.0,25.471698113207545,19.81132075471698,25.471698113207545
1980,18.918918918918916,0.0,0.0,2.7027027027027026,2.7027027027027026,97.29729729729729,81.08108108108108,99.99999999999999,2.7027027027027026,0.0,0.0,0.0,0.0,24.324324324324323,21.62162162162162,24.324324324324323
1981,18.367346938775512,1.0204081632653061,0.0,2.0408163265306123,3.061224489795918,96.93877551020408,81.63265306122449,100.0,3.061224489795918,0.0,0.0,0.0,0.0,22.448979591836736,19.387755102040817,22.448979591836736
1982,21.153846153846153,0.9615384615384615,0.0,0.0,0.9615384615384615,99.03846153846153,78.84615384615384,100.0,5.769230769230769,0.0,0.0,0.0,0.0,25.0,19.23076923076923,25.0
1983,22.52252252252252,0.0,1.8018018018018016,0.0,1.8018018018018016,98.19819819819818,77.47747747747746,99.99999999999999,5.405405405405405,0.0,0.9009009009009008,0.0,0.9009009009009008,22.52252252252252,18.018018018018015,23.423423423423422
1984,29.807692307692307,2.8846153846153846,0.0,2.8846153846153846,4.8076923076923075,95.1923076923077,70.1923076923077,100.0,8.653846153846153,0.9615384615384615,0.0,0.9615384615384615,0.9615384615384615,23.076923076923077,15.384615384615383,24.038461538461537
1985,26.605504587155963,3.6697247706422016,2.7522935779816513,0.9174311926605504,7.339449541284403,92.66055045871559,73.39449541284404,99.99999999999999,3.6697247706422016,1.8348623853211008,0.9174311926605504,0.0,2.7522935779816513,22.01834862385321,21.10091743119266,24.77064220183486
1986,25.925925925925924,6.481481481481481,2.7777777777777777,3.7037037037037033,12.037037037037036,87.96296296296296,74.07407407407408,100.0,5.555555555555555,0.9259259259259258,0.9259259259259258,0.0,1.8518518518518516,22.22222222222222,18.51851851851852,24.074074074074073
1987,29.906542056074766,1.8691588785046729,0.9345794392523364,0.0,2.803738317757009,97.19626168224299,70.09345794392523,100.0,7.4766355140186915,0.9345794392523364,0.0,0.0,0.9345794392523364,23.36448598130841,16.822429906542055,24.299065420560748
1988,26.470588235294116,4.901960784313726,1.9607843137254901,0.9803921568627451,7.8431372549019605,92.15686274509804,73.52941176470588,100.0,5.88235294117647,0.0,0.9803921568627451,0.0,0.9803921568627451,22.549019607843135,17.647058823529413,23.52941176470588
1989,28.30188679245283,1.8867924528301885,0.9433962264150942,1.8867924528301885,4.716981132075471,95.28301886792453,71.69811320754717,100.0,3.773584905660377,0.9433962264150942,0.0,0.9433962264150942,1.8867924528301885,22.641509433962263,20.754716981132074,24.528301886792452
1990,22.857142857142858,4.761904761904762,0.9523809523809523,0.0,5.714285714285714,94.28571428571428,77.14285714285714,100.0,4.761904761904762,1.9047619047619047,0.9523809523809523,0.0,2.857142857142857,20.952380952380953,19.047619047619047,23.80952380952381
1991,27.777777777777775,1.8518518518518516,0.0,0.0,1.8518518518518516,98.14814814814814,72.22222222222221,100.0,6.481481481481481,1.8518518518518516,0.0,0.0,1.8518518518518516,22.22222222222222,17.59259259259259,24.074074074074073
1992,28.037383177570092,1.8691588785046729,0.9345794392523364,0.9345794392523364,3.7383177570093458,96.26168224299064,71.96261682242991,100.0,5.607476635514018,0.0,0.0,0.9345794392523364,0.9345794392523364,22.429906542056074,17.75700934579439,23.36448598130841
1993,32.14285714285714,3.571428571428571,3.571428571428571,0.0,7.142857142857142,92.85714285714285,67.85714285714285,99.99999999999999,9.821428571428571,0.0,1.7857142857142856,0.0,1.7857142857142856,21.428571428571427,13.392857142857142,23.21428571428571
1994,38.532110091743114,3.6697247706422016,1.8348623853211008,0.9174311926605504,6.422018348623853,93.57798165137613,61.46788990825688,99.99999999999999,8.256880733944953,0.0,0.0,0.0,0.0,22.935779816513758,14.678899082568806,22.935779816513758
1995,33.92857142857142,3.571428571428571,0.0,0.0,3.571428571428571,96.42857142857142,66.07142857142857,99.99999999999999,9.821428571428571,0.8928571428571428,0.0,0.0,0.8928571428571428,23.21428571428571,14.285714285714285,24.107142857142854
1996,25.862068965517242,1.7241379310344829,0.0,1.7241379310344829,3.4482758620689657,96.55172413793105,74.13793103448276,100.0,5.172413793103448,0.0,0.0,0.8620689655172414,0.8620689655172414,22.413793103448278,18.10344827586207,23.27586206896552
1997,25.217391304347828,0.8695652173913044,1.7391304347826089,1.7391304347826089,4.347826086956522,95.65217391304348,74.78260869565219,100.00000000000001,6.086956521739131,0.0,0.8695652173913044,0.0,0.8695652173913044,21.73913043478261,16.521739130434785,22.608695652173914
