year_ceremony,female,black,asian,latin_american,non_white,white,total_nominees,male
1955,16.53543307086614,0.7874015748031495,0.7874015748031495,2.3622047244094486,3.937007874015748,96.06299212598425,100.0,83.46456692913385
1956,20.491803278688526,1.639344262295082,0.819672131147541,0.0,2.459016393442623,97.54098360655738,100.0,79.50819672131148
1957,14.84375,0.0,3.125,0.78125,3.90625,96.09375,100.0,85.15625
1958,15.0,0.0,2.0,2.0,4.0,96.0,100.0,85.0
1959,13.513513513513512,0.9009009009009008,0.9009009009009008,0.0,1.8018018018018016,98.19819819819818,99.99999999999999,86.48648648648648
1960,18.487394957983195,0.8403361344537815,0.0,0.8403361344537815,1.680672268907563,98.31932773109244,100.0,81.51260504201682
1961,17.21311475409836,0.0,0.819672131147541,0.819672131147541,1.639344262295082,98.36065573770492,100.0,82.78688524590164
1962,12.903225806451614,0.8064516129032259,0.0,1.6129032258064517,2.4193548387096775,97.58064516129032,100.0,87.09677419354838
1963,19.491525423728813,0.0,0.0,0.0,0.0,100.0,100.0,80.5084745762712
1964,18.548387096774192,0.8064516129032259,0.8064516129032259,0.0,1.6129032258064517,98.38709677419355,100.0,81.45161290322581
1965,13.934426229508198,0.819672131147541,0.0,2.459016393442623,3.278688524590164,96.72131147540983,100.0,86.06557377049181
1966,16.8,0.8,0.8,0.0,1.6,98.4,100.0,83.2
1967,14.516129032258064,1.6129032258064517,1.6129032258064517,0.0,3.2258064516129035,96.7741935483871,100.0,85.48387096774194
1968,11.926605504587155,2.7522935779816513,0.0,1.8348623853211008,4.587155963302752,95.41284403669724,99.99999999999999,88.07339449541284
1969,16.666666666666664,0.9259259259259258,0.9259259259259258,0.9259259259259258,2.7777777777777777,97.22222222222221,100.0,83.33333333333333
1970,19.047619047619047,2.857142857142857,0.9523809523809523,0.0,3.8095238095238093,96.19047619047619,100.0,80.95238095238095
1971,18.69158878504673,1.8691588785046729,0.9345794392523364,1.8691588785046729,4.672897196261682,95.32710280373831,100.0,81.30841121495327
1972,16.346153846153847,1.923076923076923,0.9615384615384615,2.8846153846153846,5.769230769230769,94.23076923076923,100.0,83.65384615384615
1973,17.307692307692307,6.730769230769231,0.9615384615384615,0.0,7.692307692307692,92.3076923076923,100.0,82.6923076923077
1974,20.388349514563107,0.0,0.0,0.0,0.0,100.0,100.0,79.6116504854369
1975,20.5607476635514,1.8691588785046729,0.9345794392523364,0.9345794392523364,3.7383177570093458,96.26168224299064,100.0,79.43925233644859
1976,22.429906542056074,0.0,1.8691588785046729,0.0,1.8691588785046729,98.13084112149532,100.0,77.57009345794393
1977,25.0,0.9615384615384615,0.0,0.9615384615384615,1.923076923076923,98.07692307692308,100.0,75.0
1978,21.10091743119266,0.0,0.9174311926605504,1.8348623853211008,2.7522935779816513,97.24770642201834,99.99999999999999,78.89908256880733
1979,19.81132075471698,0.9433962264150942,0.9433962264150942,0.9433962264150942,2.830188679245283,97.16981132075472,100.0,80.18867924528301
1980,18.918918918918916,0.0,0.0,2.7027027027027026,2.7027027027027026,97.29729729729729,99.99999999999999,81.08108108108108
1981,18.367346938775512,1.0204081632653061,0.0,2.0408163265306123,3.061224489795918,96.93877551020408,100.0,81.63265306122449
1982,21.153846153846153,0.9615384615384615,0.0,0.0,0.9615384615384615,99.03846153846153,100.0,78.84615384615384
1983,22.52252252252252,0.0,1.8018018018018016,0.0,1.8018018018018016,98.19819819819818,99.99999999999999,77.47747747747746
1984,29.807692307692307,2.8846153846153846,0.0,2.8846153846153846,4.8076923076923075,95.1923076923077,100.0,70.1923076923077
1985,26.605504587155963,3.6697247706422016,2.7522935779816513,0.9174311926605504,7.339449541284403,92.66055045871559,99.99999999999999,73.39449541284404
1986,25.925925925925924,6.481481481481481,2.7777777777777777,3.7037037037037033,12.037037037037036,87.96296296296296,100.0,74.07407407407408
1987,29.906542056074766,1.8691588785046729,0.9345794392523364,0.0,2.803738317757009,97.19626168224299,100.0,70.09345794392523
1988,26.470588235294116,4.901960784313726,1.9607843137254901,0.9803921568627451,7.8431372549019605,92.15686274509804,100.0,73.52941176470588
